id,name,credits,tags,subject,term,eligible_grades,prerequisite,corequisite,elective,schools
0001A,Student Assistant A,0,,Local,Semester 1,"11th, 12th, 10th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0001B,Student Assistant B,0,,Local,Semester 1,"11th, 12th, 10th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P1A,Late Arrival (1st Period) A,0,,Local,Semester 1,"12th, 11th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P1B,Late Arrival (1st Period)  B,0,,Local,Semester 2,"12th, 11th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P2A,Late Arrival (2nd Period) A,0,,Local,Semester 1,12th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P2B,Late Arrival (2nd Period) B,0,,Local,Semester 2,12th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P6A,Early Release (6th Period) A,0,,Local,Semester 1,"12th, 11th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P6B,Early Release (6th Period) B,0,,Local,Semester 2,"12th, 11th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P7A,Early Release (7th Period) A,0,,Local,Semester 1,"12th, 11th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002P7B,Early Release (7th Period) B,0,,Local,Semester 2,"12th, 11th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
